city,state_id,state_name,lat,lng,population,id
Riverside,WA,Washington,48.5049,-119.51,273,1840021059
North Acomita Village,NM,New Mexico,35.0659,-107.5676,273,1840033720
Byars,OK,Oklahoma,34.8724,-97.0541,273,1840022783
Centerview,MO,Missouri,38.7461,-93.8442,273,1840007432
Lerna,IL,Illinois,39.4178,-88.2886,273,1840012579
Burkettsville,OH,Ohio,40.353,-84.6426,273,1840010384
East Nicolaus,CA,California,38.91,-121.5443,273,1840024522
Elizabethtown,IL,Illinois,37.4499,-88.3052,273,1840013000
Scott,OH,Ohio,40.989,-84.5837,273,1840011907
New Deal,TN,Tennessee,36.5139,-86.5629,273,1840024894
Navajo Mountain,UT,Utah,37.047,-110.79,273,1840037247
Hunker,PA,Pennsylvania,40.2041,-79.6155,272,1840001138
Davenport,ND,North Dakota,46.7148,-97.0654,272,1840000176
Stickney,SD,South Dakota,43.5894,-98.4376,272,1840002613
McEwensville,PA,Pennsylvania,41.0723,-76.8188,272,1840000843
Pryorsburg,KY,Kentucky,36.6899,-88.7124,272,1840026920
Silver Creek,MN,Minnesota,45.3127,-93.9827,272,1840025305
Malcom,IA,Iowa,41.7076,-92.5575,272,1840009217
Riverbend,MT,Montana,47.1472,-114.8318,272,1840032837
Carbon,TX,Texas,32.2684,-98.8272,272,1840023056
Waldo,AL,Alabama,33.3892,-86.036,272,1840016830
Bowles,CA,California,36.6089,-119.7526,272,1840017630
Cary,MS,Mississippi,32.8056,-90.9245,272,1840016918
Horseshoe Lake,AR,Arkansas,34.9136,-90.3079,272,1840016380
Monterey Park Tract,CA,California,37.5268,-121.0115,272,1840042933
Toms Brook,VA,Virginia,38.9466,-78.44,272,1840006005
Bayside,VA,Virginia,37.7548,-75.7129,272,1840024719
Spring Creek,SD,South Dakota,43.1153,-101.0306,272,1840004259
Delight,AR,Arkansas,34.0299,-93.5057,271,1840014710
Newport Center,VT,Vermont,44.9509,-72.3043,271,1840025334
Allenwood,PA,Pennsylvania,41.1081,-76.8981,271,1840024209
Herman,NE,Nebraska,41.674,-96.2167,271,1840011528
Leland,IA,Iowa,43.3318,-93.6351,271,1840007955
Bradshaw,WV,West Virginia,37.3534,-81.8012,271,1840006424
Pamelia Center,NY,New York,44.0409,-75.9017,271,1840023984
Kenton,DE,Delaware,39.2272,-75.6646,271,1840005816
Emigrant,MT,Montana,45.3755,-110.7465,271,1840023885
St. Thomas,MO,Missouri,38.3671,-92.216,271,1840010766
Grand Junction,TN,Tennessee,35.05,-89.1889,271,1840013464
Zaleski,OH,Ohio,39.2811,-82.395,271,1840012688
Maurice,IA,Iowa,42.9664,-96.1824,271,1840007983
New Hampton,MO,Missouri,40.2652,-94.1952,271,1840008350
Lake Ann,MI,Michigan,44.7251,-85.845,271,1840010932
Rollinsville,CO,Colorado,39.9232,-105.5136,271,1840024362
Alberta,VA,Virginia,36.8552,-77.8937,270,1840006508
Stonewall,NC,North Carolina,35.1371,-76.7405,270,1840016425
Ardentown,DE,Delaware,39.8081,-75.4807,270,1840005587
Rowley,IA,Iowa,42.3685,-91.8443,270,1840009104
Glen Echo,MD,Maryland,38.968,-77.141,270,1840005844
Blue Mound,KS,Kansas,38.089,-95.01,270,1840007517
Deep River,IA,Iowa,41.5812,-92.3732,270,1840007062
Searles,MN,Minnesota,44.2307,-94.4361,270,1840025372
Arcadia,OK,Oklahoma,35.6655,-97.3255,270,1840021744
Castalia,NC,North Carolina,36.0823,-78.0576,270,1840016164
Protivin,IA,Iowa,43.2168,-92.0891,270,1840009037
Falcon,NC,North Carolina,35.1937,-78.6489,270,1840016440
Howe,IN,Indiana,41.7228,-85.4255,270,1840013798
St. Charles,KY,Kentucky,37.1881,-87.551,269,1840015245
Elliott,IL,Illinois,40.4664,-88.2769,269,1840011876
Boykin,AL,Alabama,32.0701,-87.2914,269,1840025922
Hays,TX,Texas,30.1215,-97.8724,269,1840020904
Grays River,WA,Washington,46.3608,-123.589,269,1840023877
Wildwood,KY,Kentucky,38.249,-85.5747,269,1840015201
Rockville,UT,Utah,37.1478,-113.0548,269,1840021563
Thompson,PA,Pennsylvania,41.8637,-75.5141,269,1840003329
Bartley,NE,Nebraska,40.2511,-100.3104,269,1840012292
Narrowsburg,NY,New York,41.6006,-75.0579,269,1840004783
Lyons Switch,OK,Oklahoma,35.7794,-94.6933,269,1840073923
Carson,ND,North Dakota,46.4223,-101.5706,269,1840000201
Mapleton,IL,Illinois,40.5732,-89.7242,269,1840011927
Manchester,IL,Illinois,39.5423,-90.3303,269,1840012567
Athens,LA,Louisiana,32.658,-93.0277,269,1840018067
Bruning,NE,Nebraska,40.3357,-97.5648,269,1840010471
Homeland,FL,Florida,27.8181,-81.8269,269,1840025157
Princeton,KS,Kansas,38.4876,-95.2703,269,1840009638
Winston,MT,Montana,46.4684,-111.6652,269,1840018475
Golf,FL,Florida,26.5043,-80.1092,269,1840018306
Conroy,IA,Iowa,41.7267,-91.9986,268,1840026248
Savage,MT,Montana,47.4536,-104.3414,268,1840032680
Brodnax,VA,Virginia,36.7033,-78.0318,268,1840006509
Cedar Crest,PA,Pennsylvania,40.3966,-77.8858,268,1840040467
Emery,UT,Utah,38.9251,-111.2523,268,1840021445
Georgetown,MS,Mississippi,31.8698,-90.1648,268,1840017046
Fidelity,MO,Missouri,37.0817,-94.3096,268,1840010876
Freedom,WY,Wyoming,42.9854,-111.0296,268,1840026171
Prescott,KS,Kansas,38.0632,-94.6928,268,1840009749
Old Washington,OH,Ohio,40.0376,-81.4442,268,1840012358
New Holland,IL,Illinois,40.1834,-89.5825,268,1840012311
Lake Lorraine,WI,Wisconsin,42.733,-88.7374,268,1840042466
Drake,ND,North Dakota,47.9226,-100.3745,268,1840000063
